iter	Passed	Remaining
0	269	268851
1	281	140622
2	284	94388
3	286	71342
4	289	57592
5	293	48579
6	296	41991
7	298	37019
8	304	33533
9	307	30415
10	309	27859
11	312	25751
12	321	24410
13	327	23078
14	333	21908
15	341	21030
16	442	25586
17	449	24543
18	453	23407
19	455	22329
20	465	21699
21	469	20852
22	473	20093
23	479	19483
24	481	18783
25	484	18134
26	532	19207
27	535	18601
28	538	18032
29	542	17530
30	544	17023
31	546	16545
32	549	16103
33	551	15678
34	554	15289
35	596	15984
36	601	15647
37	604	15303
38	608	14984
39	616	14791
40	619	14486
41	622	14193
42	624	13905
43	629	13677
44	632	13421
45	713	14798
46	716	14533
47	719	14276
48	725	14078
49	728	13840
50	730	13599
51	736	13432
52	738	13204
53	741	12986
54	751	12903
55	761	12839
56	772	12780
57	798	12965
58	801	12788
59	805	12623
60	828	12755
61	858	12994
62	869	12926
63	871	12747
64	879	12652
65	925	13103
66	929	12947
67	934	12813
68	952	12857
69	961	12778
70	965	12638
71	968	12481
72	972	12349
73	978	12248
74	981	12107
75	984	11968
76	996	11942
77	1014	11988
78	1021	11911
79	1031	11866
80	1038	11785
81	1041	11659
82	1043	11526
83	1045	11405
84	1055	11357
85	1061	11278
86	1063	11161
87	1088	11278
88	1100	11267
89	1118	11306
90	1120	11196
91	1131	11166
92	1135	11075
93	1142	11016
94	1145	10914
95	1157	10902
96	1168	10873
97	1178	10848
98	1186	10802
99	1189	10708
100	1192	10610
101	1194	10518
102	1198	10433
103	1201	10355
104	1210	10316
105	1212	10228
106	1241	10361
107	1246	10291
108	1257	10276
109	1261	10206
110	1263	10121
111	1270	10075
112	1273	9993
113	1275	9913
114	1277	9834
115	1287	9808
116	1288	9727
117	1291	9654
118	1294	9581
119	1299	9530
120	1302	9458
121	1304	9384
122	1306	9313
123	1308	9244
124	1311	9177
125	1314	9116
126	1316	9051
127	1319	8991
128	1323	8933
129	1326	8876
130	1328	8815
131	1332	8762
132	1339	8734
133	1346	8700
134	1350	8650
135	1352	8589
136	1354	8530
137	1359	8492
138	1362	8441
139	1366	8392
140	1370	8347
141	1375	8311
142	1379	8266
143	1382	8215
144	1384	8165
145	1391	8138
146	1393	8088
147	1406	8095
148	1410	8053
149	1413	8010
150	1420	7987
151	1423	7942
152	1425	7891
153	1427	7841
154	1429	7792
155	1431	7747
156	1434	7701
157	1436	7653
158	1437	7603
159	1439	7557
160	1440	7507
161	1442	7464
162	1445	7423
163	1448	7386
164	1450	7341
165	1452	7297
166	1454	7256
167	1456	7214
168	1461	7185
169	1463	7145
170	1465	7104
171	1467	7063
172	1469	7023
173	1470	6979
174	1471	6936
175	1472	6894
176	1477	6869
177	1479	6831
178	1483	6805
179	1485	6766
180	1486	6728
181	1488	6689
182	1492	6662
183	1494	6627
184	1495	6589
185	1496	6550
186	1497	6512
187	1499	6475
188	1500	6440
189	1502	6403
190	1506	6380
191	1508	6347
192	1509	6312
193	1510	6276
194	1512	6242
195	1513	6207
196	1514	6173
197	1515	6139
198	1517	6106
199	1519	6078
200	1521	6049
201	1523	6017
202	1524	5987
203	1527	5959
204	1528	5929
205	1530	5897
206	1531	5866
207	1535	5846
208	1536	5815
209	1537	5785
210	1539	5756
211	1541	5729
212	1543	5702
213	1545	5674
214	1546	5647
215	1548	5620
216	1549	5592
217	1552	5567
218	1553	5540
219	1555	5513
220	1556	5486
221	1561	5470
222	1569	5470
223	1588	5503
224	1595	5496
225	1598	5473
226	1600	5448
227	1603	5428
228	1609	5418
229	1611	5395
230	1618	5388
231	1623	5373
232	1626	5352
233	1633	5347
234	1636	5327
235	1639	5308
236	1642	5286
237	1648	5276
238	1651	5258
239	1653	5236
240	1655	5213
241	1657	5190
242	1662	5178
243	1665	5159
244	1683	5188
245	1688	5174
246	1695	5167
247	1697	5148
248	1700	5127
249	1702	5106
250	1704	5085
251	1708	5070
252	1716	5069
253	1719	5051
254	1729	5053
255	1731	5032
256	1733	5011
257	1735	4990
258	1740	4979
259	1742	4958
260	1746	4944
261	1752	4935
262	1755	4918
263	1758	4901
264	1761	4885
265	1764	4870
266	1769	4856
267	1773	4843
268	1780	4837
269	1782	4819
270	1784	4799
271	1785	4779
272	1787	4759
273	1788	4739
274	1792	4725
275	1794	4706
276	1795	4687
277	1797	4667
278	1798	4647
279	1799	4627
280	1800	4607
281	1804	4593
282	1809	4585
283	1812	4568
284	1814	4552
285	1821	4547
286	1822	4528
287	1824	4510
288	1827	4495
289	1829	4477
290	1833	4467
291	1835	4449
292	1836	4431
293	1837	4413
294	1839	4396
295	1843	4385
296	1853	4386
297	1854	4368
298	1855	4351
299	1858	4335
300	1859	4318
301	1864	4309
302	1866	4293
303	1867	4275
304	1869	4258
305	1870	4242
306	1875	4233
307	1878	4221
308	1881	4206
309	1882	4190
310	1884	4174
311	1885	4157
312	1886	4140
313	1887	4124
314	1894	4118
315	1895	4102
316	1896	4086
317	1897	4069
318	1898	4053
319	1899	4036
320	1900	4020
321	1901	4004
322	1902	3988
323	1903	3972
324	1908	3963
325	1909	3948
326	1910	3932
327	1911	3916
328	1912	3900
329	1913	3884
330	1914	3869
331	1915	3854
332	1916	3839
333	1917	3823
334	1918	3808
335	1921	3796
336	1923	3784
337	1925	3771
338	1928	3760
339	1930	3747
340	1931	3732
341	1932	3717
342	1932	3702
343	1936	3692
344	1937	3678
345	1938	3664
346	1939	3650
347	1941	3636
348	1942	3623
349	1943	3609
350	1944	3595
351	1945	3581
352	1946	3567
353	1947	3553
354	1948	3540
355	1951	3529
356	1952	3516
357	1953	3503
358	1954	3490
359	1956	3477
360	1957	3464
361	1958	3450
362	1959	3437
363	1960	3424
364	1961	3412
365	1962	3399
366	1963	3387
367	1966	3377
368	1967	3364
369	1969	3353
370	1970	3341
371	1971	3328
372	1973	3316
373	1974	3305
374	1975	3292
375	1976	3280
376	1981	3274
377	1982	3262
378	1983	3250
379	1984	3238
380	1985	3226
381	1987	3214
382	1988	3202
383	1989	3190
384	1990	3178
385	1990	3166
386	1992	3155
387	1996	3148
388	1998	3139
389	2000	3129
390	2002	3118
391	2003	3107
392	2004	3096
393	2006	3085
394	2008	3076
395	2010	3066
396	2011	3055
397	2012	3044
398	2013	3033
399	2015	3022
400	2016	3011
401	2017	3000
402	2018	2990
403	2019	2979
404	2020	2968
405	2022	2959
406	2024	2949
407	2025	2939
408	2026	2928
409	2028	2918
410	2029	2908
411	2030	2897
412	2031	2887
413	2032	2877
414	2033	2866
415	2034	2855
416	2039	2852
417	2043	2845
418	2046	2837
419	2047	2827
420	2049	2818
421	2050	2808
422	2052	2799
423	2054	2790
424	2055	2780
425	2056	2770
426	2057	2761
427	2058	2751
428	2059	2741
429	2061	2732
430	2062	2722
431	2063	2713
432	2064	2703
433	2068	2697
434	2069	2687
435	2070	2678
436	2071	2668
437	2072	2659
438	2073	2649
439	2074	2639
440	2075	2630
441	2076	2620
442	2077	2612
443	2078	2603
444	2080	2594
445	2083	2587
446	2084	2578
447	2085	2569
448	2086	2560
449	2087	2551
450	2088	2542
451	2090	2534
452	2091	2525
453	2092	2517
454	2094	2508
455	2098	2503
456	2099	2494
457	2101	2486
458	2102	2478
459	2103	2469
460	2104	2460
461	2105	2452
462	2106	2443
463	2108	2435
464	2109	2426
465	2112	2420
466	2114	2412
467	2115	2404
468	2116	2396
469	2117	2387
470	2117	2378
471	2118	2370
472	2121	2364
473	2123	2356
474	2124	2347
475	2127	2342
476	2129	2334
477	2129	2325
478	2130	2317
479	2131	2309
480	2133	2301
481	2134	2293
482	2139	2289
483	2143	2284
484	2144	2277
485	2145	2269
486	2146	2261
487	2148	2253
488	2149	2246
489	2150	2238
490	2151	2230
491	2152	2222
492	2153	2214
493	2154	2206
494	2157	2201
495	2159	2194
496	2160	2186
497	2161	2178
498	2162	2171
499	2164	2164
500	2166	2157
501	2167	2150
502	2168	2142
503	2169	2135
504	2172	2129
505	2173	2122
506	2175	2115
507	2176	2107
508	2177	2100
509	2178	2093
510	2179	2085
511	2180	2078
512	2182	2071
513	2183	2064
514	2184	2057
515	2187	2052
516	2189	2045
517	2190	2037
518	2191	2030
519	2192	2023
520	2193	2016
521	2194	2009
522	2195	2002
523	2196	1995
524	2198	1988
525	2199	1981
526	2202	1977
527	2204	1970
528	2205	1963
529	2206	1956
530	2207	1950
531	2208	1943
532	2210	1936
533	2211	1929
534	2212	1922
535	2213	1915
536	2214	1909
537	2217	1904
538	2218	1897
539	2219	1890
540	2220	1884
541	2221	1877
542	2222	1870
543	2223	1863
544	2224	1856
545	2225	1850
546	2226	1843
547	2227	1837
548	2228	1830
549	2231	1825
550	2233	1819
551	2234	1813
552	2235	1807
553	2236	1800
554	2237	1794
555	2238	1787
556	2239	1781
557	2240	1775
558	2241	1768
559	2242	1762
560	2246	1757
561	2248	1752
562	2248	1745
563	2249	1739
564	2250	1732
565	2251	1726
566	2252	1720
567	2253	1714
568	2254	1708
569	2256	1701
570	2257	1695
571	2261	1691
572	2262	1685
573	2263	1679
574	2264	1673
575	2265	1667
576	2266	1661
577	2267	1655
578	2269	1649
579	2270	1643
580	2271	1637
581	2272	1632
582	2274	1626
583	2276	1621
584	2277	1615
585	2278	1609
586	2279	1603
587	2280	1597
588	2280	1591
589	2281	1585
590	2282	1579
591	2283	1573
592	2284	1568
593	2285	1562
594	2286	1556
595	2287	1550
596	2290	1546
597	2291	1540
598	2292	1534
599	2294	1529
600	2295	1524
601	2297	1518
602	2298	1513
603	2299	1507
604	2300	1501
605	2301	1496
606	2304	1492
607	2305	1486
608	2306	1481
609	2307	1475
610	2308	1470
611	2309	1464
612	2310	1458
613	2311	1453
614	2312	1447
615	2313	1442
616	2314	1436
617	2315	1431
